,satisfaction,gender,customer_type,age,travel_type,class,distance,seat_comfort,dep_val_time_convenient,food_drink,gate,wifi_service,entertainment,online_support,online_booking_service,onboard_service,leg_room_service,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay_minutes,arrival_delay_minutes
21,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,2090,0,1,0,2,1,0,1,1,3,5,1,4,2,1,0,0.0
22,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2122,0,1,0,2,2,0,4,2,4,1,3,1,3,2,0,0.0
23,satisfied,Male,Loyal Customer,53,Personal Travel,Business,1099,0,1,0,2,1,3,3,1,1,0,1,3,1,1,0,0.0
24,satisfied,Female,Loyal Customer,16,Personal Travel,Eco Plus,1747,0,1,0,2,2,0,2,2,3,3,2,4,3,2,0,0.0
25,satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1817,0,1,0,2,4,0,4,4,2,1,3,3,2,4,0,0.0
26,satisfied,Male,Loyal Customer,64,Personal Travel,Eco,1707,0,1,0,2,5,0,3,5,4,4,2,3,2,5,0,0.0
27,satisfied,Female,Loyal Customer,42,Personal Travel,Eco,470,0,1,0,2,3,2,2,3,3,0,3,1,3,4,2,23.0
28,satisfied,Male,Loyal Customer,9,Personal Travel,Eco,972,0,1,0,2,4,0,4,4,4,3,3,1,3,4,0,0.0
29,satisfied,Female,Loyal Customer,35,Personal Travel,Eco,3695,0,1,0,3,0,4,4,2,2,3,4,4,3,4,0,0.0
30,satisfied,Male,Loyal Customer,62,Personal Travel,Eco Plus,2948,0,1,0,3,5,0,5,5,4,1,2,2,2,5,34,19.0
31,satisfied,Female,Loyal Customer,21,Personal Travel,Eco,2823,0,1,0,3,2,0,2,2,2,2,2,2,3,2,4,0.0
32,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,2485,0,1,0,3,2,0,2,2,2,3,3,4,3,2,0,0.0
33,satisfied,Female,Loyal Customer,26,Personal Travel,Eco,2408,0,1,0,3,4,0,4,4,1,4,4,2,3,4,0,0.0
34,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,3009,0,1,0,3,4,0,3,4,1,2,3,1,4,4,0,0.0
35,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,1449,0,1,0,3,3,3,2,2,2,1,2,4,2,2,0,2.0
36,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,3209,0,1,0,3,4,0,4,4,4,3,3,1,4,4,0,0.0
37,satisfied,Male,Loyal Customer,57,Personal Travel,Eco,2840,0,1,0,3,4,0,4,4,2,4,2,4,3,4,0,0.0
38,satisfied,Male,Loyal Customer,25,Personal Travel,Eco,2534,0,1,0,3,2,0,2,2,3,5,2,1,4,2,0,0.0
39,satisfied,Female,Loyal Customer,31,Personal Travel,Eco,2162,0,1,0,3,2,0,3,2,1,4,2,1,2,2,13,0.0
40,satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2352,0,1,0,3,3,0,3,3,2,1,2,2,3,3,0,0.0
41,satisfied,Female,Loyal Customer,17,Personal Travel,Eco,2748,0,1,0,3,1,4,4,3,1,3,4,4,1,4,427,440.0
42,satisfied,Male,Loyal Customer,33,Personal Travel,Eco,2045,0,1,0,3,1,0,4,1,4,5,4,3,3,1,15,0.0
43,satisfied,Male,Loyal Customer,32,Personal Travel,Eco,2343,0,1,0,3,1,0,1,1,2,2,1,1,3,1,0,0.0
44,satisfied,Female,Loyal Customer,60,Personal Travel,Eco,912,0,1,0,3,4,3,4,2,2,0,2,4,2,1,10,2.0
45,satisfied,Female,Loyal Customer,38,Personal Travel,Eco Plus,2139,0,1,0,3,5,0,5,5,3,5,3,3,2,5,0,0.0
46,satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1918,0,1,0,3,5,0,5,5,1,3,3,3,4,5,16,5.0
47,satisfied,Male,Loyal Customer,42,Personal Travel,Eco,2311,0,1,0,3,1,0,1,1,1,4,3,2,3,1,0,0.0
48,satisfied,Female,Loyal Customer,31,Personal Travel,Business,1599,0,1,0,3,2,0,2,2,4,2,3,3,3,2,10,0.0
49,satisfied,Male,Loyal Customer,34,Personal Travel,Eco,1816,0,1,0,3,4,0,4,4,1,1,2,3,2,4,0,0.0
50,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1826,0,1,0,3,3,0,2,3,2,2,3,4,3,3,0,0.0
51,satisfied,Male,Loyal Customer,56,Personal Travel,Business,715,0,1,0,3,2,4,4,4,4,0,4,4,4,3,0,0.0
52,satisfied,Male,Loyal Customer,13,Personal Travel,Eco,2306,0,1,0,3,4,0,3,4,4,2,3,2,2,4,0,0.0
53,satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1846,0,1,0,3,3,0,1,3,3,2,4,1,3,3,0,0.0
54,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,1783,0,1,0,3,2,0,2,2,1,4,4,4,3,2,0,0.0
55,satisfied,Male,Loyal Customer,30,Personal Travel,Eco,1826,0,1,0,3,5,0,5,5,4,4,3,3,3,5,0,0.0
56,satisfied,Female,Loyal Customer,22,Personal Travel,Eco,1542,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0.0
57,satisfied,Female,Loyal Customer,65,Personal Travel,Eco,423,0,1,0,3,4,4,3,2,2,0,1,3,2,4,0,0.0
58,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1473,0,1,0,3,5,0,5,5,1,1,4,4,3,5,11,1.0
59,satisfied,Male,Loyal Customer,37,Personal Travel,Eco Plus,1887,0,1,0,3,1,0,1,1,2,5,3,1,3,1,0,0.0
60,satisfied,Male,Loyal Customer,34,Personal Travel,Eco,1952,0,1,0,3,2,0,2,2,3,4,4,4,4,2,10,0.0
61,satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1598,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0.0
62,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1830,0,1,0,3,2,0,2,2,3,4,3,2,3,2,0,0.0
63,satisfied,Female,Loyal Customer,11,Personal Travel,Eco,1761,0,1,0,3,3,0,3,3,1,2,3,2,3,3,0,0.0
64,satisfied,Female,Loyal Customer,52,Personal Travel,Eco,332,0,1,0,3,5,4,3,3,3,0,3,4,3,4,0,0.0
65,satisfied,Male,Loyal Customer,24,Personal Travel,Business,1303,0,1,0,3,4,0,4,4,2,3,3,1,4,4,5,0.0
66,satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1624,0,1,0,3,1,0,1,1,3,1,4,1,3,1,0,0.0
67,satisfied,Male,Loyal Customer,52,Personal Travel,Eco,1744,0,1,0,3,2,0,2,2,1,5,2,2,3,2,0,7.0
68,satisfied,Male,Loyal Customer,60,Personal Travel,Eco,868,0,1,0,3,3,0,3,3,4,1,3,2,4,3,0,0.0
69,satisfied,Female,Loyal Customer,49,Personal Travel,Eco Plus,2497,0,1,0,4,1,2,4,2,2,0,2,3,2,2,9,0.0
70,satisfied,Female,Loyal Customer,8,Personal Travel,Eco,2869,0,1,0,4,4,0,4,4,2,1,3,3,4,4,1,0.0
71,satisfied,Female,Loyal Customer,40,Personal Travel,Eco,3516,0,1,0,4,1,0,1,1,3,1,4,2,4,1,0,0.0
72,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,2891,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,0.0
73,satisfied,Male,Loyal Customer,8,Personal Travel,Eco,2457,0,1,0,4,3,0,3,3,3,5,2,4,4,3,0,0.0
74,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,1911,0,1,0,4,2,0,1,2,1,1,3,1,4,2,0,0.0
75,satisfied,Male,Loyal Customer,38,Personal Travel,Eco,2498,0,1,0,4,5,0,2,5,4,2,3,2,4,5,0,1.0
76,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,2316,0,1,0,4,2,0,2,2,3,5,4,3,4,2,1,0.0
77,satisfied,Male,Loyal Customer,21,Personal Travel,Eco,2095,0,1,0,4,4,0,4,4,1,4,3,4,4,4,0,0.0
78,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,1755,0,1,0,4,5,0,5,5,3,1,4,2,4,5,15,8.0
79,satisfied,Male,Loyal Customer,70,Personal Travel,Eco,1650,0,1,0,4,4,0,4,4,1,4,4,4,4,4,19,45.0
80,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,488,0,1,0,4,1,4,3,5,5,0,5,2,5,1,0,0.0
81,satisfied,Female,Loyal Customer,67,Personal Travel,Eco,465,0,1,0,4,2,3,4,4,4,0,2,1,4,3,35,69.0
82,satisfied,Female,Loyal Customer,59,Personal Travel,Eco,474,0,1,0,4,4,3,3,3,3,0,3,1,3,1,0,0.0
83,satisfied,Male,Loyal Customer,48,Personal Travel,Business,374,0,1,0,4,2,3,3,5,5,0,1,3,5,3,14,13.0
84,satisfied,Female,Loyal Customer,44,Personal Travel,Eco,365,0,1,0,4,3,4,3,5,5,0,5,4,5,3,0,0.0
85,satisfied,Female,Loyal Customer,52,Personal Travel,Eco,351,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,0.0
86,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2175,0,1,0,4,5,0,4,5,4,2,3,2,4,5,0,3.0
87,satisfied,Male,Loyal Customer,69,Personal Travel,Eco,1428,0,1,0,4,4,0,4,4,4,4,3,2,3,4,0,0.0
88,satisfied,Male,Loyal Customer,51,Personal Travel,Eco,986,0,1,0,4,5,0,5,5,1,5,3,1,3,5,2,12.0
89,satisfied,Male,Loyal Customer,9,Personal Travel,Eco,1628,0,1,0,4,3,0,4,3,3,2,3,1,4,3,0,0.0
90,satisfied,Male,Loyal Customer,40,Personal Travel,Eco,4161,0,1,1,1,1,4,4,4,4,1,2,4,3,4,0,0.0
91,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,3505,0,1,1,2,2,1,2,2,3,5,3,4,2,2,0,0.0
92,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,1948,0,1,1,3,2,1,2,2,3,2,2,1,2,2,15,10.0
93,satisfied,Female,Loyal Customer,23,Personal Travel,Eco Plus,1546,0,2,0,1,5,0,5,5,3,3,5,5,5,5,0,2.0
94,satisfied,Male,Loyal Customer,49,Personal Travel,Eco Plus,2044,0,2,0,2,2,0,2,2,2,4,3,4,3,2,0,0.0
95,satisfied,Male,Loyal Customer,39,Personal Travel,Eco Plus,2554,0,2,0,2,5,2,5,5,1,1,3,3,2,5,0,0.0
96,satisfied,Male,Loyal Customer,37,Personal Travel,Eco,2387,0,2,0,2,1,0,1,1,3,3,2,3,2,1,0,0.0
97,satisfied,Female,Loyal Customer,12,Personal Travel,Eco,2152,0,2,0,2,2,0,2,2,2,5,1,4,1,2,0,0.0
98,satisfied,Male,Loyal Customer,64,Personal Travel,Eco,2141,0,2,0,2,4,0,2,4,2,2,3,2,2,4,6,1.0
99,satisfied,Male,Loyal Customer,46,Personal Travel,Eco Plus,1068,0,2,0,2,4,0,4,4,2,5,3,2,2,4,0,0.0
100,satisfied,Male,Loyal Customer,38,Personal Travel,Eco,1913,0,2,0,2,2,0,2,2,4,5,3,3,2,2,0,6.0
101,satisfied,Female,Loyal Customer,38,Personal Travel,Eco,897,0,2,0,2,2,0,3,2,1,1,1,2,3,2,6,0.0
102,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,3248,0,2,0,3,2,0,2,2,4,3,3,1,4,2,0,0.0
103,satisfied,Female,Loyal Customer,13,Personal Travel,Eco Plus,3842,0,2,0,3,3,0,2,3,1,2,1,1,2,3,0,0.0
104,satisfied,Male,Loyal Customer,20,Personal Travel,Eco,3865,0,2,0,3,0,5,5,2,5,3,3,5,2,5,0,0.0
105,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,2441,0,2,0,3,0,3,3,1,2,4,4,3,2,3,0,0.0
106,satisfied,Male,Loyal Customer,41,Personal Travel,Eco,3332,0,2,0,3,4,0,4,4,3,5,3,1,3,4,0,0.0
107,satisfied,Male,Loyal Customer,10,Personal Travel,Business,3432,0,2,0,3,4,0,4,4,1,4,3,1,4,4,1,0.0
108,satisfied,Female,Loyal Customer,21,Personal Travel,Eco Plus,3799,0,2,0,3,5,2,5,5,3,1,3,2,4,5,27,8.0
109,satisfied,Male,Loyal Customer,54,Personal Travel,Eco,3504,0,2,0,3,4,0,4,4,1,5,3,4,4,4,0,0.0
110,satisfied,Female,Loyal Customer,46,Personal Travel,Eco Plus,1620,0,2,0,3,3,3,3,4,4,0,4,4,4,1,5,0.0
111,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,3024,0,2,0,3,1,0,1,1,1,1,2,3,3,1,0,0.0
112,satisfied,Male,Loyal Customer,67,Personal Travel,Eco,2532,0,2,0,3,2,0,2,2,4,3,3,3,4,2,0,0.0
113,satisfied,Male,Loyal Customer,58,Personal Travel,Eco,2759,0,2,0,3,2,0,2,2,1,3,2,3,3,2,10,0.0
114,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,2734,0,2,0,3,3,0,3,3,1,1,2,3,3,3,0,0.0
115,satisfied,Male,Loyal Customer,45,Personal Travel,Business,1237,0,2,0,3,4,3,3,1,1,0,1,4,1,1,20,15.0
116,satisfied,Male,Loyal Customer,57,Personal Travel,Business,1165,0,2,0,3,5,4,4,2,2,0,3,2,2,3,0,0.0
117,satisfied,Female,Loyal Customer,63,Personal Travel,Eco,1109,0,2,0,3,3,3,3,4,4,0,4,1,4,1,0,0.0
118,satisfied,Female,Loyal Customer,16,Personal Travel,Eco,2157,0,2,0,3,3,0,3,3,1,3,3,4,2,3,0,0.0
119,satisfied,Male,Loyal Customer,10,Personal Travel,Eco,1863,0,2,0,3,4,0,4,4,1,3,4,2,3,4,0,0.0
120,satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2410,0,2,0,3,1,0,1,1,4,5,3,1,4,1,0,0.0
121,satisfied,Female,Loyal Customer,33,Personal Travel,Eco Plus,2359,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,0.0
122,satisfied,Male,Loyal Customer,70,Personal Travel,Eco,1686,0,2,0,3,1,0,1,1,3,1,2,3,2,1,0,0.0
123,satisfied,Female,Loyal Customer,45,Personal Travel,Eco,673,0,2,0,3,1,2,3,3,3,0,3,1,3,2,3,1.0
124,satisfied,Female,Loyal Customer,32,Personal Travel,Eco,1657,0,2,0,3,2,0,2,2,2,2,4,4,4,2,0,3.0
125,satisfied,Male,Loyal Customer,65,Personal Travel,Business,651,0,2,0,3,3,4,4,3,3,0,3,1,3,2,0,0.0
126,satisfied,Female,Loyal Customer,65,Personal Travel,Eco,614,0,2,0,3,4,5,5,2,2,0,2,4,2,3,90,80.0
127,satisfied,Female,Loyal Customer,20,Personal Travel,Eco,1894,0,2,0,3,1,2,1,1,2,3,4,1,4,1,0,3.0
128,satisfied,Male,Loyal Customer,17,Personal Travel,Eco Plus,1911,0,2,0,3,5,0,5,5,2,5,2,1,2,5,0,0.0
129,satisfied,Female,Loyal Customer,30,Personal Travel,Eco,1647,0,2,0,3,3,0,3,3,3,1,4,3,4,3,3,0.0
130,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,1856,0,2,0,3,5,0,3,5,2,5,4,2,3,5,1,0.0
131,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,1642,0,2,0,3,5,0,5,5,3,3,4,3,3,5,0,0.0
132,satisfied,Female,Loyal Customer,33,Personal Travel,Eco,1949,0,2,0,3,5,0,2,5,3,2,4,3,3,5,0,0.0
133,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,419,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0.0
134,satisfied,Female,Loyal Customer,37,Personal Travel,Eco,1571,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,0.0
135,satisfied,Male,Loyal Customer,61,Personal Travel,Eco,1119,0,2,0,3,3,0,3,3,2,1,4,3,4,3,2,0.0
136,satisfied,Male,Loyal Customer,60,Personal Travel,Eco,1190,0,2,0,3,1,0,1,1,1,5,3,2,3,1,0,0.0
137,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,1844,0,2,0,3,4,0,4,4,2,5,4,3,3,4,1,0.0
138,satisfied,Male,Loyal Customer,26,Personal Travel,Eco,959,0,2,0,3,3,0,3,3,3,4,3,2,4,3,0,0.0
139,satisfied,Female,Loyal Customer,41,Personal Travel,Eco,2109,0,2,0,3,5,0,5,5,2,5,4,1,4,5,0,0.0
140,satisfied,Female,Loyal Customer,57,Personal Travel,Eco,317,0,2,0,3,5,2,3,1,1,0,1,4,1,4,0,0.0
141,satisfied,Male,Loyal Customer,47,Personal Travel,Eco,1977,0,2,0,3,2,0,2,2,2,2,2,4,2,2,0,0.0
142,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,291,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,2.0
143,satisfied,Female,Loyal Customer,29,Personal Travel,Eco,1820,0,2,0,3,1,0,1,1,2,1,3,1,3,1,0,0.0
144,satisfied,Male,Loyal Customer,67,Personal Travel,Eco,1721,0,2,0,3,5,0,5,5,4,1,3,3,4,5,9,0.0
146,satisfied,Male,Loyal Customer,26,Personal Travel,Eco,3466,0,2,0,4,2,0,2,2,3,1,3,2,4,2,0,0.0
147,satisfied,Male,Loyal Customer,30,Personal Travel,Eco,2825,0,2,0,4,1,0,1,1,4,1,2,2,3,1,0,0.0
148,satisfied,Male,Loyal Customer,36,Personal Travel,Eco,2561,0,2,0,4,2,0,2,2,2,2,2,4,4,2,0,0.0
149,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,2762,0,2,0,4,2,0,4,2,4,1,4,3,4,2,0,15.0
150,satisfied,Female,Loyal Customer,49,Personal Travel,Eco,1184,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0.0
151,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,1066,0,2,0,4,5,4,4,2,2,0,2,3,2,1,14,7.0
152,satisfied,Female,Loyal Customer,17,Personal Travel,Eco,1740,0,2,0,4,3,0,3,3,4,3,3,2,4,3,0,0.0
153,satisfied,Female,Loyal Customer,10,Personal Travel,Eco,1970,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0.0
154,satisfied,Female,Loyal Customer,55,Personal Travel,Eco,994,0,2,0,4,2,4,3,3,3,0,3,1,3,3,68,80.0
155,satisfied,Male,Loyal Customer,48,Personal Travel,Eco Plus,2391,0,2,0,4,1,0,1,1,3,1,3,3,4,1,0,0.0
156,satisfied,Male,Loyal Customer,58,Personal Travel,Eco,2032,0,2,0,4,4,0,4,4,3,5,2,2,4,4,0,0.0
157,satisfied,Female,Loyal Customer,50,Personal Travel,Eco,726,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,1.0
158,satisfied,Male,Loyal Customer,31,Personal Travel,Eco,2206,0,2,0,4,4,0,4,4,1,1,2,4,3,4,0,0.0
159,satisfied,Female,Loyal Customer,25,Personal Travel,Eco,2268,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,3.0
160,satisfied,Male,Loyal Customer,29,Personal Travel,Eco,1743,0,2,0,4,5,0,5,5,3,2,4,4,4,5,0,0.0
161,satisfied,Female,Loyal Customer,68,Personal Travel,Business,503,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0.0
162,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,457,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0.0
163,satisfied,Male,Loyal Customer,54,Personal Travel,Eco,1200,0,2,0,4,4,0,4,4,4,1,3,4,4,4,0,0.0
164,satisfied,Male,Loyal Customer,68,Personal Travel,Eco,1732,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0.0
165,satisfied,Female,Loyal Customer,63,Personal Travel,Business,296,0,2,0,4,1,4,3,1,1,0,1,3,1,1,0,0.0
166,satisfied,Female,Loyal Customer,28,Personal Travel,Eco,2096,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0.0
167,satisfied,Female,Loyal Customer,63,Personal Travel,Eco,231,0,2,0,4,2,4,3,4,4,0,5,4,4,2,0,0.0
168,satisfied,Female,Loyal Customer,26,Personal Travel,Eco,1636,0,2,0,4,5,0,5,5,2,5,3,4,3,5,0,0.0
169,satisfied,Female,Loyal Customer,11,Personal Travel,Eco Plus,1394,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0.0
170,satisfied,Female,Loyal Customer,16,Personal Travel,Eco,1399,0,2,0,4,5,0,5,5,2,1,3,1,3,5,0,0.0
171,satisfied,Male,Loyal Customer,49,Personal Travel,Eco,1282,0,2,0,4,2,0,2,2,1,2,4,2,4,2,0,0.0
172,satisfied,Male,Loyal Customer,17,Personal Travel,Eco,2008,0,2,0,4,2,0,2,2,4,4,3,1,4,2,0,0.0
173,satisfied,Female,Loyal Customer,62,Personal Travel,Eco,832,0,2,1,2,1,2,3,2,2,1,2,4,2,3,0,0.0
174,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2441,0,2,1,4,1,1,1,1,2,2,2,2,3,1,13,4.0
175,satisfied,Male,Loyal Customer,24,Personal Travel,Eco,3219,0,3,0,1,3,0,3,3,4,2,5,5,5,3,93,86.0
176,satisfied,Male,Loyal Customer,12,Personal Travel,Eco,2794,0,3,0,1,3,0,3,3,3,2,4,2,2,3,14,1.0
177,satisfied,Female,Loyal Customer,39,Personal Travel,Eco,2274,0,3,0,1,2,0,1,2,5,2,1,2,2,2,0,0.0
178,satisfied,Male,Loyal Customer,46,Personal Travel,Eco,2179,0,3,0,1,5,0,3,5,1,5,1,3,2,5,0,0.0
179,satisfied,Male,Loyal Customer,55,Personal Travel,Eco,1656,0,3,0,1,4,0,4,4,3,1,3,3,3,4,0,0.0
180,satisfied,Female,Loyal Customer,18,Personal Travel,Eco,2411,0,3,0,1,3,0,5,3,2,3,4,2,1,3,0,0.0
181,satisfied,Male,Loyal Customer,7,Personal Travel,Eco,1817,0,3,0,1,1,0,1,1,1,2,2,1,3,1,1,5.0
182,satisfied,Male,Loyal Customer,13,Personal Travel,Eco,1644,0,3,0,1,2,0,2,2,2,1,3,5,1,2,0,0.0
183,satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1595,0,3,0,1,1,0,1,1,1,3,5,5,2,1,0,0.0
184,satisfied,Female,Loyal Customer,49,Personal Travel,Eco,427,0,3,0,1,2,4,3,1,1,0,1,2,1,3,0,0.0
185,satisfied,Female,Loyal Customer,36,Personal Travel,Eco,1713,0,3,0,1,1,0,4,1,2,5,1,3,4,1,0,0.0
186,satisfied,Male,Loyal Customer,44,Personal Travel,Eco Plus,2680,0,3,0,2,1,0,1,1,5,5,1,2,1,1,7,0.0
187,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,2743,0,3,0,2,4,0,4,4,1,2,2,4,3,4,0,2.0
188,satisfied,Female,Loyal Customer,9,Personal Travel,Eco,1900,0,3,0,2,4,0,4,4,2,1,3,1,3,4,0,0.0
189,satisfied,Male,Loyal Customer,51,Personal Travel,Eco,2719,0,3,0,2,3,0,3,3,3,3,2,2,2,3,29,13.0
190,satisfied,Female,Loyal Customer,27,Personal Travel,Eco,1866,0,3,0,2,2,0,2,2,3,3,3,2,3,2,0,0.0
191,satisfied,Female,Loyal Customer,47,Personal Travel,Eco,706,0,3,0,2,2,3,5,2,2,0,2,1,2,4,0,0.0
192,satisfied,Female,Loyal Customer,48,Personal Travel,Eco,538,0,3,0,2,3,2,2,5,5,0,5,1,5,3,66,57.0
193,satisfied,Male,Loyal Customer,15,Personal Travel,Business,1583,0,3,0,2,2,0,2,2,4,4,2,4,3,2,0,0.0
194,satisfied,Female,Loyal Customer,7,Personal Travel,Eco,1890,0,3,0,2,1,0,1,1,2,2,5,1,2,1,0,0.0
195,satisfied,Male,Loyal Customer,62,Personal Travel,Eco,1008,0,3,0,2,3,0,3,3,1,4,4,2,1,3,0,2.0
196,satisfied,Female,Loyal Customer,42,Personal Travel,Eco,2768,0,3,0,3,5,5,5,5,5,0,5,3,5,3,0,0.0
197,satisfied,Female,Loyal Customer,64,Personal Travel,Eco,2573,0,3,0,3,4,3,4,2,2,0,2,2,2,3,0,0.0
198,satisfied,Male,Loyal Customer,53,Personal Travel,Business,2522,0,3,0,3,2,4,4,3,3,3,3,3,3,1,0,3.0
199,satisfied,Female,Loyal Customer,42,Personal Travel,Business,1794,0,3,0,3,5,3,4,4,4,0,4,3,4,3,10,0.0
200,satisfied,Female,Loyal Customer,22,Personal Travel,Eco,2676,0,3,0,3,3,0,3,3,2,3,1,3,1,3,12,5.0
201,satisfied,Male,Loyal Customer,19,Personal Travel,Eco,3109,0,3,0,3,4,0,4,4,2,2,4,3,4,4,0,0.0
